Material Number, Weighted Avg Exposure/Unit 
42405, 8.12 
46408, 43.12 
42407, 12.93 
46409, 75.77 
42409, 11.47 
42410, 63.28 
42469, 6.14 
42470, 47.36 
42433, 30.67 
42435, 25.97 
42613, 16.35 
42518, 3.20 
42483, 19.32 
42482, 522.04 
42563, 2.63 
42564, 127.50 
44059, 10.98 
42567, 5.58 
42571, 8.21 
42573, 19.80 
42460, 0.01 
42461, 0.04 
42462, 31.97 
42463, 0.01 
42464, 1.07 
42465, 40.51 
42646, 9.35 
42418, 131.36 
42647, 10.47 
42420, 125.55 
42648, 11.22 
42422, 136.47 
42649, 13.28 
42424, 166.37 
42457, 0.02 
42458, 1.00 
42459, 49.42 
42466, 0.02 
42467, 1.76 
42468, 45.86 
42615, 22.49 
42401, 10.62 
42403, 58.66 
67532, 0.37 
67529, 11.24 
67531, 4.92 
67533, 0.60 
67530, 15.58 
67534, 6.63 
46974, 136.30 
42561, 1.36 
42562, 122.17 
44058, 5.47 
42565, 5.41 
42566, 104.62 
44060, 18.99 
42591, 17.10 
42589, 12.57 
42569, 7.56 
42443, 7.98 
42445, 10.72 
42447, 9.44 
46094, 5.10 
44035, 3.49 
46119, 45.47 
44038, 2.59 
46125, 70.33 
44042, 3.83 
42624, 10.11 
42625, 72.09 
42575, 9.19 
42577, 5.93 
42579, 5.01 
44050, 0.44 
47251, 39.31 
44052, 0.91 
47254, 51.34 
44054, 1.53 
47257, 117.44 
45392, 24.15 
67525, 6.58 
45393, 28.98 
67526, 5.21 
43986, 1.66 
45968, 20.74 
46256, 54.41 
46308, 36.74 
44970, 11.83 
44968, 17.37 
57338, 8.78 
60820, 79.82 
48740, 6.66 
49288, 5.23 
50998, 13.07 
51453, 13.51 
51452, 8.93 
53212, 11.95 
43658, 10.83 
46108, 14.26 
46612, 2.45 
47808, 15.69 
48009, 5.19 
55624, 26.64 
56784, 24.84 
44582, 4.67 
44584, 8.27 
61574, 55.08 
61572, 7.86 
45720, 18.80 
45726, 29.15 
46128, 26.48 
67476, 2.93 
45709, 48.14 
45531, 21.23 
45534, 21.66 
45429, 1.22 
45430, 0.98 
67461, 23.09 
67460, 14.21 
46834, 11.49 
46814, 9.54 
46815, 9.20 
46816, 6.36 
47723, 39.46 
54129, 25.84 
54127, 2.54 
54136, 21.61 
54134, 2.62 
54143, 48.82 
54141, 4.17 
49086, 5.14 
49087, 72.22 
49088, 24.42 
51305, 4.08 
51306, 43.09 
51317, 3.74 
51304, 43.64 
51331, 69.73 
54123, 57.31 
54121, 6.47 
54050, 231.09 
54077, 269.36 
54073, 225.71 
54071, 374.57 
54069, 404.68 
66416, 12.10 
50589, 53.77 
50595, 59.28 
54170, 60.43 
53086, 58.06 
53102, 60.42 
53108, 59.82 
53114, 61.36 
53120, 56.26 
53126, 60.87 
53080, 64.67 
63479, 266.94 
61086, 293.89 
51523, 2.18 
51553, 50.34 
51552, 8.15 
51796, 84.89 
51795, 174.91 
52592, 6.76 
52593, 0.67 
52594, 1.05 
53003, 225.94 
53970, 20.56 
54880, 57.25 
59466, 1.74 
59484, 0.50 
59486, 47.35 
59467, 2.27 
59492, 52.98 
59474, 2.88 
59495, 60.82 
59499, 1.93 
59480, 53.99 
59465, 3.44 
59481, 2.57 
59483, 74.86 
53151, 2.63 
53145, 29.63 
53148, 104.06 
59509, 2.45 
59487, 8.63 
59489, 108.64 
60119, 11.37 
63207, 7.66 
54145, 1.27 
54146, 1.57 
54147, 3.55 
54101, 78.56 
54107, 16.74 
54112, 24.96 
55984, 0.41 
60655, 14.30 
60651, 10.25 
60652, 26.08 
60648, 13.10 
60653, 12.60 
60649, 14.74 
60654, 49.27 
60650, 24.07 
56008, 3.98 
60394, 13.14 
42485, 16.11 
42484, 259.17 
59428, 3.02 
61084, 20.50 
57552, 12.67 
57553, 19.15 
57554, 16.82 
58806, 57.15 
58807, 49.29 
58878, 58.35 
58879, 50.98 
61592, 5.81 
61586, 12.30 
61587, 37.48 
61589, 2.60 
61590, 35.27 
63441, 15.57 
63443, 17.82 
63444, 15.99 
63445, 15.67 
62767, 155.23 
65765, 447.55 
66345, 4.19 
66346, 10.37 
42516, 1.04 
42374, 4.87 
42517, 1.53 
42376, 12.82 
63307, 0.01 
63895, 1.31 
63896, 2.72 
64799, 4.08 
64640, 0.38 
64047, 13.54 
64049, 37.33 
65050, 1.72 
65051, 5.25 
65053, 0.42 
65052, 4.60 
65056, 1.82 
65055, 21.44 
65059, 1.17 
65064, 1.61 
65062, 1.18 
65060, 0.16 
65066, 55.08 
65065, 0.01 
65984, 62.28 
66172, 135.05 
66143, 257.77 
61557, 6.58 
61568, 9.81 
61569, 14.88 
61555, 14.31 
64271, 23.38 
65942, 26.15 
65959, 7.41 
65960, 12.97 
65961, 14.61 
45316,1.37
45320,0.48
46126,2.39
46384,521.44
46387,311.59
46973,114.49
47059,3.92
47065,5.88
51328,5843.63
51451,24.45
52610,1.95
52611,9.65
52612,4.60
52613,3.06
52614,1.11
52998,5.31
58366,0.02
58367,0.04
58678,0.02
58679,0.67
63318,808.43
65054,16.08
66492,0.00
