Material Number,Weighted Avg Exposure/Unit
42516, 16.88 
50574, 69.76 
50848, 48.13 
60653, 97.87 
52593, 0.72 
42517, 29.73 
61572, 63.66 
64799, 12.45 
65053, 3.53 
58806, 148.02 
42577, 33.51 
58879, 180.56 
58807, 151.33 
58878, 150.53 
42469, 20.43 
42579, 45.55 
60654, 37.45 
63025, 41.06 
63026, 74.50 
66589, 875.96 
44058, 8.69 
67956, 35.96 
53145, 14.32 
65960, 257.01 
67954, 39.05 
48009, 10.92 
42561, 2.92 
65961, 396.21 
46815, 18.70 
46814, 17.12 
42562, 102.42 
46816, 17.41 
67580, 81.92 
51331, 52.37 
46834, 17.20 
63024, 51.68 
46612, 5.48 
42447, 49.28 
65959, 176.49 
67531, 18.84 
67534, 26.68 
67579, 74.21 
49087, 97.67 
67526, 8.69 
42443, 31.11 
42468, 25.75 
42485, 48.72 
42401, 52.65 
57338, 23.46 
46308, 57.68 
42567, 7.91 
67555, 134.52 
66345, 5.45 
67461, 12.36 
61086, 269.99 
65050, 13.63 
67460, 18.39 
42591, 15.71 
42445, 39.31 
47808, 33.87 
42575, 20.80 
53148, 89.76 
65056, 2.19 
59481, 0.23 
59487, 2.21 
54069, 417.07 
53080, 67.22 
53108, 68.68 
45709, 62.87 
50998, 11.98 
61592, 16.15 
67783, 11.73 
45720, 23.40 
65064, 19.70 
67725, 2.96 
67955, 9.19 
65055, 26.74 
46108, 17.03 
56784, 21.20 
53086, 68.37 
42569, 9.18 
51796, 83.87 
67953, 9.23 
42374, 16.29 
67456, 38.31 
63445, 15.75 
51523, 1.68 
46256, 48.57 
44968, 13.49 
53102, 65.01 
63023, 63.66 
46973, 235.28 
42420, 187.30 
43986, 2.11 
65052, 43.13 
51553, 35.24 
54145, 1.14 
52592, 3.77 
42422, 176.64 
67473, 51.80 
46409, 122.96 
60652, 21.60 
44584, 14.84 
63443, 19.71 
53120, 66.52 
67474, 4.50 
54077, 267.51 
42483, 34.19 
54121, 9.67 
67475, 29.08 
63022, 65.93 
67552, 40.75 
42573, 22.71 
61586, 8.39 
65946, 14.91 
67556, 15.55 
63207, 9.72 
53114, 60.85 
61587, 47.86 
59483, 102.67 
67551, 28.37 
65048, 5.86 
54134, 3.54 
48740, 10.77 
42418, 167.39 
42470, 55.65 
67726, 4.83 
67529, 17.14 
53003, 241.35 
45726, 31.20 
47251, 35.14 
42458, 0.88 
65945, 14.14 
53126, 66.94 
65066, 7.19 
63444, 21.18 
42459, 5.86 
59465, 4.73 
54127, 2.62 
66172, 105.04 
67553, 50.34 
54050, 252.35 
65942, 10.45 
67630, 6.44 
53151, 11.61 
42467, 1.73 
64640, 3.28 
42589, 13.47 
67723, 36.93 
63896, 2.73 
67528, 32.22 
52614, 60.41 
42647, 12.11 
65984, 184.49 
61590, 45.03 
63895, 1.32 
42435, 65.38 
67557, 18.98 
44060, 19.35 
44059, 11.25 
42565, 5.56 
65058, 9.05 
64049, 37.33 
52594, 1.13 
65051, 5.25 
65765, 447.55 
67554, 76.53 
42564, 132.03 
42563, 2.95 
59509, 6.18 
54141, 4.22 
67476, 5.36 
42566, 92.94 
65065, 1.44 
51795, 199.59 
46974, 164.84 
44981, 12.23 
66416, 10.68 
64047, 14.74 
59467, 2.29 
52613, 47.35 
52998, 53.64 
66143, 244.89 
42648, 11.31 
45429, 2.09 
67782, 4.86 
49288, 5.28 
59486, 58.84 
59492, 53.07 
67525, 7.04 
59489, 82.05 
67533, 1.55 
67532, 1.00 
63441, 20.64 
54073, 228.53 
44980, 6.87 
54071, 388.92 
54146, 2.15 
44052, 1.03 
67530, 21.96 
42571, 12.32 
61574, 39.51 
67469, 52.62 
42424, 184.26 
45968, 18.11 
61589, 2.54 
44970, 11.91 
51452, 31.84 
59484, 4.49 
42376, 22.90 
49088, 22.03 
44582, 6.31 
42518, 4.41 
59466, 2.06 
51552, 5.23 
62767, 51.36 
42463, 0.03 
53212, 8.56 
61568, 10.28 
65944, 8.76 
52611, 37.13 
42649, 12.76 
60119, 13.43 
54147, 3.09 
67478, 36.50 
59495, 80.24 
53970, 17.04 
67665, 29.83 
44050, 0.45 
47254, 45.49 
65062, 3.82 
52612, 35.85 
66346, 7.28 
65060, 0.54 
55624, 30.78 
42646, 9.09 
66401, 48.31 
51306, 32.51 
65943, 5.59 
60820, 147.27 
42462, 24.11 
59499, 2.48 
44054, 1.26 
51304, 34.91 
59474, 3.76 
45430, 1.75 
42464, 0.72 
51453, 32.59 
42615, 29.42 
67727, 5.74 
42433, 44.52 
57553, 10.94 
42613, 18.10 
65059, 10.09 
52610, 37.06 
43658, 11.73 
