Year,Month,Material Number,ProductFamily,Forecast
2017,1,42374,4,945
2017,1,42374,4,550
2017,1,42374,4,400
2017,1,42374,4,18
2017,1,42374,4,11
2017,1,42374,4,6
2017,1,42374,4,2
2017,1,42376,4,720
2017,1,42376,4,204
2017,1,42376,4,200
2017,1,42376,4,26
2017,1,42376,4,10
2017,1,42376,4,3
2017,1,42401,53,5123
2017,1,42401,53,4208
2017,1,42401,53,4181
2017,1,42401,53,612
2017,1,42401,53,500
2017,1,42401,53,400
2017,1,42401,53,216
2017,1,42401,53,112
2017,1,42401,53,97
2017,1,42401,53,37
2017,1,42401,53,32
2017,1,42401,53,31
2017,1,42401,53,23
2017,1,42401,53,7
2017,1,42401,53,6
2017,1,42403,53,2870
2017,1,42403,53,2600
2017,1,42403,53,2393
2017,1,42403,53,390
2017,1,42403,53,150
2017,1,42403,53,110
2017,1,42403,53,75
2017,1,42403,53,48
2017,1,42403,53,24
2017,1,42403,53,21
2017,1,42403,53,17
2017,1,42403,53,14
2017,1,42403,53,12
2017,1,42403,53,6
2017,1,42403,53,6
2017,1,42403,53,6
2017,1,42405,61,4650
2017,1,42405,61,2679
2017,1,42405,61,2051
2017,1,42405,61,344
2017,1,42405,61,300
2017,1,42405,61,216
2017,1,42405,61,209
2017,1,42405,61,132
2017,1,42405,61,96
2017,1,42405,61,92
2017,1,42405,61,89
2017,1,42405,61,83
2017,1,42405,61,80
2017,1,42405,61,72
2017,1,42405,61,68
2017,1,42405,61,53
2017,1,42405,61,48
2017,1,42405,61,36
2017,1,42405,61,34
2017,1,42405,61,32
2017,1,42405,61,30
2017,1,42405,61,26
2017,1,42405,61,24
2017,1,42405,61,24
2017,1,42405,61,23
2017,1,42405,61,6
2017,1,42407,61,5935
2017,1,42407,61,3284
2017,1,42407,61,2286
2017,1,42407,61,302
2017,1,42407,61,256
2017,1,42407,61,157
2017,1,42407,61,144
2017,1,42407,61,109
2017,1,42407,61,100
2017,1,42407,61,96
2017,1,42407,61,87
2017,1,42407,61,85
2017,1,42407,61,82
2017,1,42407,61,79
2017,1,42407,61,71
2017,1,42407,61,62
2017,1,42407,61,60
2017,1,42407,61,51
2017,1,42407,61,48
2017,1,42407,61,48
2017,1,42407,61,40
2017,1,42407,61,26
2017,1,42407,61,19
2017,1,42407,61,12
2017,1,42407,61,12
2017,1,42409,61,7391
2017,1,42409,61,3955
2017,1,42409,61,1907
2017,1,42409,61,1360
2017,1,42409,61,450
2017,1,42409,61,216
2017,1,42409,61,183
2017,1,42409,61,181
2017,1,42409,61,180
2017,1,42409,61,138
2017,1,42409,61,137
2017,1,42409,61,121
2017,1,42409,61,104
2017,1,42409,61,103
2017,1,42409,61,85
2017,1,42409,61,84
2017,1,42409,61,79
2017,1,42409,61,74
2017,1,42409,61,62
2017,1,42409,61,50
2017,1,42409,61,48
2017,1,42409,61,39
2017,1,42409,61,33
2017,1,42409,61,21
2017,1,42409,61,20
2017,1,42409,61,12
2017,1,42409,61,12
2017,1,42409,61,4
2017,1,42410,61,462
2017,1,42410,61,251
2017,1,42410,61,200
2017,1,42410,61,159
2017,1,42410,61,50
2017,1,42410,61,42
2017,1,42410,61,36
2017,1,42410,61,36
2017,1,42410,61,34
2017,1,42410,61,22
