Material Number,ProductFamily,Launch Date
42374,4,4/1/2008
42376,4,2/1/2008
42401,53,6/1/2002
42403,53,6/1/2002
42405,61,8/1/2001
42406,61,8/1/2005
42407,61,8/1/2001
42409,61,1/1/2002
42410,61,1/1/2002
42418,67,3/1/2001
42420,67,3/1/2018
42420,67,3/1/2001
42422,67,3/1/2001
42424,67,3/1/2001
42433,72,8/1/2003
42435,72,8/1/2003
42443,87,7/1/2001
42445,87,7/1/2001
42447,87,7/1/2001
42456,91,4/1/1999
42457,159,9/1/2003
42458,159,5/1/2006
42459,159,9/1/2003
42460,159,9/1/2003
42461,159,1/1/2004
42462,159,9/1/2003
42463,159,9/1/2003
42464,159,5/1/2007
42465,159,9/1/2003
42466,159,9/1/2003
42467,159,5/1/2006
42468,159,9/1/2003
42469,161,8/1/1999
42470,161,12/1/2017
42470,161,2/1/2007
42470,161,9/1/1999
42482,179,1/1/2008
42483,179,5/1/2019
42483,179,10/1/1999
42484,179,7/1/1999
42485,179,10/1/1997
42486,192,4/1/2003
42488,192,4/1/2003
42492,192,4/1/2003
42516,4,4/1/2006
42517,4,4/1/2006
42518,4,7/1/2016
42518,4,4/1/2006
42561,153,4/1/2005
42562,153,10/1/2004
42563,153,4/1/2005
42564,153,10/1/2004
42565,153,1/1/2009
42566,153,1/1/2009
42567,182,2/1/2015
42567,182,7/1/2003
42567,182,9/1/2015
42569,182,5/1/2017
42569,182,7/1/2003
42571,182,7/1/2003
42573,182,10/1/2003
42575,182,9/1/2003
42577,182,9/1/2003
42579,182,9/1/2003
42581,218,5/1/2003
42581,218,7/1/2016
42581,218,7/1/2016
42581,218,4/1/2016
42581,218,11/1/2008
42582,218,8/1/2018
42582,218,5/1/2003
42582,218,7/1/2016
42583,218,10/1/2002
42583,218,7/1/2003
42585,218,5/1/2003
42586,218,10/1/2002
42588,218,5/1/2003
42589,217,5/1/2018
42589,217,2/1/2009
42589,217,12/1/2014
42591,217,2/1/2009
42591,217,1/1/2018
42613,72,6/1/2003
42615,72,7/1/2003
42620,117,6/1/2006
42624,28,9/1/2002
42625,28,8/1/2008
42646,67,10/1/2000
42647,67,10/1/2000
42648,67,10/1/2000
42649,67,10/1/2000
42654,90,4/1/2005
42655,90,3/1/2013
42655,90,4/1/2005
42657,90,4/1/2005
42658,90,4/1/2005
42660,90,4/1/2005
42661,90,4/1/2005
43610,83,3/1/2002
43658,83,1/1/2003
43986,232,5/1/2016
43986,232,8/1/2006
44035,167,11/1/2006
44038,167,11/1/2006
44042,167,11/1/2006
44050,234,10/1/2007
44052,234,10/1/2007
44054,234,10/1/2007
44058,153,11/1/2003
44059,153,11/1/2003
44060,153,1/1/2009
44582,107,11/1/2009
44584,107,11/1/2009
44615,57,2/1/2005
44968,152,10/1/2007
44970,152,10/1/2007
44980,152,5/1/2004
44981,152,5/1/2004
45135,270,7/1/2005
45136,270,7/1/2005
45137,270,7/1/2005
45316,269,8/1/2004
45320,269,8/1/2004
45392,269,11/1/2013
45392,269,10/1/2004
45393,269,11/1/2013
45393,269,9/1/2004
45429,287,12/1/2004
45430,287,1/1/2005
45531,240,9/1/2005
45534,240,6/1/2005
45542,217,9/1/2008
45545,127,1/1/2005
45547,127,6/1/2016
45547,127,8/1/2006
45709,274,12/1/2006
45709,274,7/1/2019
45720,274,11/1/2008
45720,274,12/1/2006
45726,274,6/1/2007
45726,274,12/1/2006
45726,274,6/1/2019
45819,192,10/1/2004
45820,192,2/1/2005
45821,192,10/1/2004
45912,70,8/1/2007
45918,268,6/1/2005
45968,232,8/1/2006
45968,232,7/1/2016
45968,232,5/1/2016
45969,232,8/1/2006
46094,167,2/1/2007
46108,229,12/1/2008
46119,167,9/1/2017
46119,167,1/1/2007
46125,167,12/1/2017
46125,167,12/1/2006
46126,167,1/1/2008
46128,167,1/1/2008
46256,57,5/1/2006
46308,57,8/1/2005
46313,127,2/1/2006
46384,553,1/1/2015
46385,553,1/1/2015
46386,553,1/1/2015
46387,553,5/1/2015
46406,153,9/1/2009
46409,61,4/1/2005
46612,272,10/1/2007
