MonthYear,Year,Month,MaterialNum,ProdFamily,SupplyQty
Jan-2018,2018,1,42374,4,6702
Jan-2018,2018,1,42376,4,1908
Jan-2018,2018,1,42401,53,38109
Jan-2018,2018,1,42403,53,6516
Jan-2018,2018,1,42405,61,11760
Jan-2018,2018,1,42407,61,13632
Jan-2018,2018,1,42409,61,34896
Jan-2018,2018,1,42410,61,3690
Jan-2018,2018,1,42435,72,5244
Jan-2018,2018,1,42447,87,9744
Jan-2018,2018,1,42469,161,78108
Jan-2018,2018,1,42470,161,5112
Jan-2018,2018,1,42484,179,876
Jan-2018,2018,1,42485,179,38868
Jan-2018,2018,1,42516,4,47964
Jan-2018,2018,1,42517,4,4644
Jan-2018,2018,1,42518,4,112848
Jan-2018,2018,1,42564,153,7722
Jan-2018,2018,1,42565,153,493813
Jan-2018,2018,1,42566,153,10332
Jan-2018,2018,1,42581,218,14735
Jan-2018,2018,1,42582,218,21834
Jan-2018,2018,1,42583,218,23460
Jan-2018,2018,1,42585,218,24732
Jan-2018,2018,1,42586,218,72540
Jan-2018,2018,1,42588,218,43740
Jan-2018,2018,1,42613,72,36948
Jan-2018,2018,1,42615,72,7560
Jan-2018,2018,1,42620,117,46000
Jan-2018,2018,1,42624,28,37608
Jan-2018,2018,1,42649,67,18264
Jan-2018,2018,1,43986,232,394075
Jan-2018,2018,1,44038,167,113436
Jan-2018,2018,1,44042,167,32604
Jan-2018,2018,1,45320,269,38976
Jan-2018,2018,1,45393,269,8604
Jan-2018,2018,1,45531,240,43896
Jan-2018,2018,1,45534,240,132924
Jan-2018,2018,1,45968,232,4482
Jan-2018,2018,1,46108,229,80413
Jan-2018,2018,1,46119,167,13572
Jan-2018,2018,1,46125,167,20424
Jan-2018,2018,1,46126,167,14904
Jan-2018,2018,1,46256,57,9120
Jan-2018,2018,1,46308,57,22896
Jan-2018,2018,1,46408,61,1194
Jan-2018,2018,1,46409,61,2184
Jan-2018,2018,1,46612,272,2351688
Jan-2018,2018,1,46922,311,7512
Jan-2018,2018,1,46929,311,1548
Jan-2018,2018,1,46981,67,363
Jan-2018,2018,1,47065,318,31524
Jan-2018,2018,1,47138,330,8396
Jan-2018,2018,1,47723,333,24876
Jan-2018,2018,1,48009,355,65856
Jan-2018,2018,1,51012,368,36900
Jan-2018,2018,1,51305,996,35808
Jan-2018,2018,1,51306,996,71532
Jan-2018,2018,1,51552,404,19584
Jan-2018,2018,1,51553,404,27792
Jan-2018,2018,1,51795,358,8796
Jan-2018,2018,1,52592,391,7590
Jan-2018,2018,1,52593,391,104072
Jan-2018,2018,1,52594,391,218446
Jan-2018,2018,1,52727,371,70152
Jan-2018,2018,1,54121,320,253428
Jan-2018,2018,1,54123,320,21194
Jan-2018,2018,1,54127,320,410395
Jan-2018,2018,1,54129,320,78132
Jan-2018,2018,1,54134,320,258538
Jan-2018,2018,1,54136,320,76424
Jan-2018,2018,1,54141,320,313510
Jan-2018,2018,1,54143,320,52670
Jan-2018,2018,1,54147,353,27276
Jan-2018,2018,1,55984,427,30576
Jan-2018,2018,1,57553,159,32772
Jan-2018,2018,1,59480,322,348
Jan-2018,2018,1,59484,322,48168
Jan-2018,2018,1,59490,322,71916
Jan-2018,2018,1,59499,322,2871
Jan-2018,2018,1,60288,465,13176
Jan-2018,2018,1,60820,373,11014
Jan-2018,2018,1,61084,1068,17520
Jan-2018,2018,1,61086,415,5157
Jan-2018,2018,1,61217,153,41413
Jan-2018,2018,1,61587,562,2807
Jan-2018,2018,1,61589,562,12257
Jan-2018,2018,1,61590,562,7446
Jan-2018,2018,1,63135,448,9000
Jan-2018,2018,1,63137,448,18000
Jan-2018,2018,1,63168,448,36144
Jan-2018,2018,1,63169,448,0
Jan-2018,2018,1,63207,1009,162194
Jan-2018,2018,1,63300,547,12960
Jan-2018,2018,1,63479,415,7164
Jan-2018,2018,1,63725,177,59864
Jan-2018,2018,1,63763,448,2304
Jan-2018,2018,1,63809,448,40608
Jan-2018,2018,1,63810,448,45720
Jan-2018,2018,1,64141,518,10944
Jan-2018,2018,1,64142,518,48852
Jan-2018,2018,1,64143,518,9950
Jan-2018,2018,1,64233,272,116302
Jan-2018,2018,1,64489,117,1008
Jan-2018,2018,1,64629,272,2518
Jan-2018,2018,1,64640,293,8046
Jan-2018,2018,1,64761,272,28186
Jan-2018,2018,1,64762,272,11048
Jan-2018,2018,1,64763,272,123807
Jan-2018,2018,1,64764,272,75720
Jan-2018,2018,1,64803,272,8472
Jan-2018,2018,1,64903,117,2808
Jan-2018,2018,1,65159,475,19584
Jan-2018,2018,1,65160,475,143280
Jan-2018,2018,1,65161,475,71028
Jan-2018,2018,1,65162,475,179856
Jan-2018,2018,1,65707,448,8424
Jan-2018,2018,1,65815,272,36000
Jan-2018,2018,1,65829,448,1752
Jan-2018,2018,1,65830,448,6048
Jan-2018,2018,1,66018,177,12049
Jan-2018,2018,1,66346,638,45059
Jan-2018,2018,1,66416,497,86190
Jan-2018,2018,1,66492,1149,995
Feb-2018,2018,2,42401,53,62814
Feb-2018,2018,2,42403,53,39232
Feb-2018,2018,2,42407,61,25404
Feb-2018,2018,2,42409,61,18564
Feb-2018,2018,2,42410,61,1902
Feb-2018,2018,2,42443,87,8952
Feb-2018,2018,2,42445,87,57024
Feb-2018,2018,2,42447,87,101688
Feb-2018,2018,2,42469,161,70020
Feb-2018,2018,2,42518,4,58596
Feb-2018,2018,2,42564,153,38179
Feb-2018,2018,2,42565,153,682923
Feb-2018,2018,2,42566,153,3918
Feb-2018,2018,2,42567,182,160512
Feb-2018,2018,2,42569,182,38568
Feb-2018,2018,2,42571,182,14088
Feb-2018,2018,2,42573,182,1632
Feb-2018,2018,2,42575,182,13968
Feb-2018,2018,2,42577,182,9528
Feb-2018,2018,2,42579,182,3996
Feb-2018,2018,2,42581,218,36876
Feb-2018,2018,2,42582,218,21995
Feb-2018,2018,2,42583,218,146620
Feb-2018,2018,2,42585,218,14808
Feb-2018,2018,2,42586,218,147204
Feb-2018,2018,2,42588,218,21708
Feb-2018,2018,2,42591,217,89508
Feb-2018,2018,2,42623,117,11512
Feb-2018,2018,2,42624,28,76944
Feb-2018,2018,2,42625,28,5754
Feb-2018,2018,2,44035,167,114120
Feb-2018,2018,2,44038,167,97548
Feb-2018,2018,2,44042,167,325236
Feb-2018,2018,2,44060,153,19608
Feb-2018,2018,2,44582,107,46656
Feb-2018,2018,2,44968,152,87883
Feb-2018,2018,2,44970,152,161786
Feb-2018,2018,2,45316,269,36612
Feb-2018,2018,2,45320,269,57948
Feb-2018,2018,2,45393,269,11616
Feb-2018,2018,2,45429,287,16224
Feb-2018,2018,2,45968,232,13008
Feb-2018,2018,2,46094,167,8196
Feb-2018,2018,2,46119,167,8568
Feb-2018,2018,2,46125,167,14376
Feb-2018,2018,2,46126,167,46116
Feb-2018,2018,2,46128,167,24612
Feb-2018,2018,2,46384,553,26784
Feb-2018,2018,2,46385,553,28668
Feb-2018,2018,2,46387,553,3288
Feb-2018,2018,2,46409,61,2533
Feb-2018,2018,2,46612,272,584783
Feb-2018,2018,2,47059,318,20664
Feb-2018,2018,2,47065,318,21924
Feb-2018,2018,2,47135,330,3398
Feb-2018,2018,2,47723,333,31674
Feb-2018,2018,2,48696,460,9461
Feb-2018,2018,2,48697,460,8222
Feb-2018,2018,2,48698,574,1416
Feb-2018,2018,2,49288,355,105792
Feb-2018,2018,2,50998,441,134695
Feb-2018,2018,2,51304,996,7218
Feb-2018,2018,2,51307,203,66744
Feb-2018,2018,2,51317,996,53604
Feb-2018,2018,2,51795,358,35484
Feb-2018,2018,2,51796,358,35100
Feb-2018,2018,2,52594,391,75503
Feb-2018,2018,2,52727,371,36745
Feb-2018,2018,2,54121,320,53148
Feb-2018,2018,2,54123,320,23912
Feb-2018,2018,2,54127,320,376147
Feb-2018,2018,2,54129,320,7892
Feb-2018,2018,2,54134,320,541860
Feb-2018,2018,2,54136,320,40220
Feb-2018,2018,2,54141,320,194319
Feb-2018,2018,2,54143,320,43396
Feb-2018,2018,2,54146,353,9792
Feb-2018,2018,2,55624,348,22824
Feb-2018,2018,2,57553,159,25168
Feb-2018,2018,2,59245,272,291600
Feb-2018,2018,2,59465,322,3376
Feb-2018,2018,2,59467,322,2327
Feb-2018,2018,2,59481,322,29616
Feb-2018,2018,2,59483,322,714
Feb-2018,2018,2,59484,322,55153
Feb-2018,2018,2,59486,322,1356
Feb-2018,2018,2,59490,322,66888
Feb-2018,2018,2,59492,322,708
Feb-2018,2018,2,59495,322,84
Feb-2018,2018,2,59509,322,1001
Feb-2018,2018,2,60394,468,3963
Feb-2018,2018,2,60648,322,9698
Feb-2018,2018,2,61100,1007,12780
Feb-2018,2018,2,61217,153,30125
Feb-2018,2018,2,61457,232,14283
Feb-2018,2018,2,61557,405,93213
Feb-2018,2018,2,61568,405,39681
Feb-2018,2018,2,61574,201,12225
Feb-2018,2018,2,61586,562,11652
Feb-2018,2018,2,61592,562,5436
Feb-2018,2018,2,63207,1009,104094
Feb-2018,2018,2,63300,547,19536
Feb-2018,2018,2,63725,177,53532
Feb-2018,2018,2,63809,448,3408
Feb-2018,2018,2,63811,448,106104
Feb-2018,2018,2,64143,518,4590
Feb-2018,2018,2,64232,272,48000
Feb-2018,2018,2,64233,272,81000
Feb-2018,2018,2,64484,34,2583
Feb-2018,2018,2,64630,228,18592
Feb-2018,2018,2,64640,293,23903
Feb-2018,2018,2,64761,272,28186
Feb-2018,2018,2,64762,272,9430
Feb-2018,2018,2,64765,272,14448
Feb-2018,2018,2,64799,228,26284
Feb-2018,2018,2,64800,228,6000
Feb-2018,2018,2,65055,381,16334
Feb-2018,2018,2,65109,652,397
Feb-2018,2018,2,65133,228,384
Feb-2018,2018,2,65156,272,4200
Feb-2018,2018,2,65159,475,38316
Feb-2018,2018,2,65160,475,34704
Feb-2018,2018,2,65161,475,69396
Feb-2018,2018,2,65162,475,143256
Feb-2018,2018,2,65303,272,76032
Feb-2018,2018,2,65311,228,4560
Feb-2018,2018,2,65404,228,21184
Feb-2018,2018,2,65580,272,46056
Feb-2018,2018,2,65918,177,197208
Feb-2018,2018,2,66099,228,18768
Feb-2018,2018,2,66100,272,422987
Feb-2018,2018,2,66106,272,7344
Feb-2018,2018,2,66346,638,44900
Feb-2018,2018,2,66508,653,17136
Feb-2018,2018,2,66794,272,295
Feb-2018,2018,2,66795,272,6137
Feb-2018,2018,2,66864,272,652
Mar-2018,2018,3,42376,4,1908
Mar-2018,2018,3,42405,61,38832
Mar-2018,2018,3,42409,61,19176
Mar-2018,2018,3,42410,61,1824
Mar-2018,2018,3,42420,67,2160
Mar-2018,2018,3,42422,67,1800
Mar-2018,2018,3,42424,67,1807
Mar-2018,2018,3,42470,161,6846
Mar-2018,2018,3,42516,4,9552
Mar-2018,2018,3,42518,4,18516
Mar-2018,2018,3,42563,153,218232
Mar-2018,2018,3,42564,153,50940
Mar-2018,2018,3,42565,153,776516
Mar-2018,2018,3,42566,153,3864
Mar-2018,2018,3,42581,218,11268
Mar-2018,2018,3,42582,218,10992
Mar-2018,2018,3,42583,218,34992
Mar-2018,2018,3,42585,218,14736
Mar-2018,2018,3,42589,217,29664
Mar-2018,2018,3,42591,217,51672
Mar-2018,2018,3,42613,72,37140
Mar-2018,2018,3,42615,72,14424
Mar-2018,2018,3,42620,117,13824
Mar-2018,2018,3,42623,117,8969
Mar-2018,2018,3,42647,67,51996
Mar-2018,2018,3,42648,67,18432
Mar-2018,2018,3,42649,67,18176
Mar-2018,2018,3,44035,167,31884
Mar-2018,2018,3,44042,167,64584
Mar-2018,2018,3,44059,153,78336
Mar-2018,2018,3,44060,153,9492
Mar-2018,2018,3,45316,269,81992
Mar-2018,2018,3,45320,269,77448
Mar-2018,2018,3,45392,269,4836
Mar-2018,2018,3,45393,269,23040
Mar-2018,2018,3,45430,287,6144
Mar-2018,2018,3,45709,274,28224
Mar-2018,2018,3,45720,274,31896
Mar-2018,2018,3,45726,274,49008
Mar-2018,2018,3,46094,167,2520
Mar-2018,2018,3,46125,167,11598
Mar-2018,2018,3,46126,167,61200
Mar-2018,2018,3,46128,167,16446
Mar-2018,2018,3,46308,57,4571
Mar-2018,2018,3,46408,61,7218
Mar-2018,2018,3,46612,272,2677385
Mar-2018,2018,3,46814,309,53616
Mar-2018,2018,3,46815,309,27612
Mar-2018,2018,3,46816,309,82692
Mar-2018,2018,3,46834,309,40236
Mar-2018,2018,3,46981,67,365
Mar-2018,2018,3,47059,318,22944
Mar-2018,2018,3,47065,318,100596
Mar-2018,2018,3,47149,329,10950
Mar-2018,2018,3,47154,329,24200
Mar-2018,2018,3,47155,329,3630
Mar-2018,2018,3,47157,329,5731
Mar-2018,2018,3,47723,333,10530
Mar-2018,2018,3,47852,354,597
Mar-2018,2018,3,47986,67,314
Mar-2018,2018,3,48009,355,265164
Mar-2018,2018,3,48696,460,11397
Mar-2018,2018,3,49216,34,74280
Mar-2018,2018,3,49560,34,6877
Mar-2018,2018,3,50589,28,12900
Mar-2018,2018,3,50595,28,17892
Mar-2018,2018,3,51304,996,3570
Mar-2018,2018,3,51305,996,71856
Mar-2018,2018,3,51306,996,33612
Mar-2018,2018,3,51307,203,38760
Mar-2018,2018,3,51328,203,6732
Mar-2018,2018,3,51332,203,17556
Mar-2018,2018,3,51333,203,29628
Mar-2018,2018,3,51451,512,11520
Mar-2018,2018,3,51794,177,791
Mar-2018,2018,3,52054,203,97
Mar-2018,2018,3,52055,203,100
Mar-2018,2018,3,52057,203,193
Mar-2018,2018,3,52592,391,28254
Mar-2018,2018,3,52727,371,72024
Mar-2018,2018,3,53970,469,143410
Mar-2018,2018,3,54121,320,187272
Mar-2018,2018,3,54123,320,19256
Mar-2018,2018,3,54127,320,633061
Mar-2018,2018,3,54129,320,92960
Mar-2018,2018,3,54134,320,86285
Mar-2018,2018,3,54136,320,76503
Mar-2018,2018,3,54141,320,238028
Mar-2018,2018,3,54143,320,35136
Mar-2018,2018,3,54880,469,48157
Mar-2018,2018,3,56784,355,147156
Mar-2018,2018,3,57975,365,14508
Mar-2018,2018,3,59245,272,458734
Mar-2018,2018,3,59478,322,53616
Mar-2018,2018,3,59480,322,2142
Mar-2018,2018,3,59487,322,23976
Mar-2018,2018,3,59489,322,474
Mar-2018,2018,3,59492,322,1704
Mar-2018,2018,3,59493,322,20508
