Calendar Month,MaterialNumber,ProductFamily,Market Share %,Number of Competitirs,WAC Price
1/1/2018,57975,365,29,7,150
1/1/2018,49048,998,36,4,150
1/1/2018,42518,4,50,10,18
1/1/2018,42374,4,0,13,176.5
1/1/2018,42376,4,2,10,151.25
1/1/2018,51012,368,6,9,35
1/1/2018,65569,1057,1,7,47.04
1/1/2018,65571,1057,1,7,59.42
1/1/2018,65568,1057,1,7,47.04
1/1/2018,65570,1057,1,7,59.42
1/1/2018,52727,371,6,10,38.99
1/1/2018,60820,373,12,2,848.06
1/1/2018,52612,373,4,18,44.6
1/1/2018,52613,373,4,17,44.6
1/1/2018,52614,373,4,14,50.45
1/1/2018,52998,373,3,17,44.6
1/1/2018,52610,373,2,15,50.45
1/1/2018,52611,373,2,16,44.6
1/1/2018,54127,320,38,15,19.06
1/1/2018,54134,320,26,14,27.13
1/1/2018,54141,320,39,16,27.13
1/1/2018,54121,320,35,15,27.13
1/1/2018,48009,355,21,6,43.5
1/1/2018,56784,355,37,2,111.38
1/1/2018,49288,355,48,2,50
1/1/2018,52029,238,0,9,
1/1/2018,52035,238,0,8,
1/1/2018,56628,238,13,5,72.9
1/1/2018,47723,333,76,4,200
1/1/2018,46384,553,24,3,89.47
1/1/2018,46385,553,12,3,89.47
1/1/2018,46386,553,15,3,89.47
1/1/2018,46387,553,41,2,89.47
1/1/2018,63318,513,6,4,4400
1/1/2018,56448,1051,0,1,
1/1/2018,64799,228,40,2,13.75
1/1/2018,42591,217,64,3,71.34
1/1/2018,42589,217,58,4,53.48
1/1/2018,43658,83,31,2,56.4
1/1/2018,46108,229,71,1,74.87
1/1/2018,50589,28,30,3,178.74
1/1/2018,50595,28,21,3,178.74
1/1/2018,54170,28,19,3,178.74
1/1/2018,42625,28,20,9,1279.3
1/1/2018,58806,29,48,1,237.82
1/1/2018,58807,29,41,1,237.82
1/1/2018,58878,29,43,1,237.82
1/1/2018,58879,29,48,1,237.82
1/1/2018,65048,330,9,6,120
1/1/2018,65050,330,2,8,35.73
1/1/2018,65052,381,24,3,71.2
1/1/2018,65055,381,32,3,141.3
1/1/2018,47852,354,15,3,
1/1/2018,47805,354,7,5,175.99
1/1/2018,65059,329,1,9,35
1/1/2018,65060,329,8,6,2.25
1/1/2018,65064,329,5,8,60
1/1/2018,65065,329,9,7,3.65
1/1/2018,61587,562,21,16,300
1/1/2018,61590,562,13,17,400
1/1/2018,61592,562,11,11,20
1/1/2018,49216,34,0,14,13.3
1/1/2018,45430,287,2,5,21.9
1/1/2018,45429,287,1,6,21.9
1/1/2018,45968,232,58,15,166.67
1/1/2018,42403,53,42,4,335.32
1/1/2018,42401,53,30,5,84.01
1/1/2018,57338,59,56,6,100
1/1/2018,46409,61,14,13,371.09
1/1/2018,42410,61,11,12,439.38
1/1/2018,55986,1009,18,6,96.88
1/1/2018,65242,714,100,NULL,198.34
1/1/2018,65243,714,100,NULL,360.64
1/1/2018,42418,67,39,10,425.3
1/1/2018,42420,67,32,12,425.3
1/1/2018,42422,67,49,12,479.3
1/1/2018,42424,67,37,9,480.1
1/1/2018,52592,391,7,16,29.38
1/1/2018,52593,391,2,18,14.73
1/1/2018,52594,391,1,19,14.73
1/1/2018,63300,547,20,9,33
1/1/2018,51451,512,21,3,85.59
1/1/2018,42433,72,35,2,107.78
1/1/2018,42435,72,30,3,129.34
1/1/2018,42613,72,26,3,105.9
1/1/2018,42615,72,62,3,112.5
1/1/2018,51552,404,1,10,73.8
1/1/2018,54145,353,4,5,10.95
1/1/2018,54146,353,8,5,15.95
1/1/2018,54147,353,7,8,34.95
1/1/2018,53148,74,56,4,498.15
1/1/2018,53151,74,57,4,56.46
1/1/2018,42447,87,60,2,60
1/1/2018,42443,87,57,1,50
1/1/2018,42445,87,52,2,55
1/1/2018,42655,90,0,20,73.8
1/1/2018,42658,90,0,22,144
1/1/2018,42661,90,0,16,95
1/1/2018,47715,90,5,15,324.6
1/1/2018,47719,90,7,15,391.85
1/1/2018,46929,311,7,5,137.48
1/1/2018,46808,311,8,8,137.48
1/1/2018,46922,311,8,7,137.48
1/1/2018,42588,218,41,8,30.5
1/1/2018,42585,218,47,9,21.75
1/1/2018,60388,221,0,6,
1/1/2018,60335,545,5,3,82.55
1/1/2018,60336,545,1,2,
1/1/2018,60337,545,19,2,82.55
1/1/2018,49206,996,34,6,135.75
1/1/2018,49218,996,27,5,136.7
1/1/2018,49572,497,44,5,85
1/1/2018,63307,497,26,3,240
1/1/2018,63479,415,25,7,1114.15
1/1/2018,61086,415,25,6,1368.26
1/1/2018,44584,107,17,4,64.12
